subject_token_pair,letter_count,avg_final_risk_score,high_or_critical_rate
adulterated + unapproved new animal drug,1,0.94,1.0
acidified foods + adulterated,1,0.925,1.0
acidified foods + emergency permit control,1,0.925,1.0
adulterated + emergency permit control,1,0.925,1.0
"adulterated + manufacturing, packaging, labeling, or holding operations for dietary supplements",1,0.905,1.0
"cgmp + manufacturing, packaging, labeling, or holding operations for dietary supplements",1,0.905,1.0
adulterated + api,2,0.896,1.0
api + cgmp,2,0.896,1.0
api + finished pharmaceutical,2,0.896,1.0
active pharmaceutical ingredient (api) + misbranded,1,0.893,1.0
bioresearch monitoring program + institutional review board (irb),1,0.89,1.0
cgmp + unapproved new drugs,1,0.873,1.0
active pharmaceutical ingredient (api) + adulterated,12,0.853,0.917
active pharmaceutical ingredient (api) + cgmp,12,0.853,0.917
adulterated + lacks pma and,1,0.852,1.0
adulterated + medical device,1,0.852,1.0
adulterated + or 510(k),1,0.852,1.0
lacks pma and + medical device,1,0.852,1.0
lacks pma and + misbranded,1,0.852,1.0
lacks pma and + or 510(k),1,0.852,1.0
medical device + or 510(k),1,0.852,1.0
misbranded + or 510(k),1,0.852,1.0
cgmp + unapproved new drug,1,0.838,1.0
finished pharmaceuticals + unapproved new drug,1,0.838,1.0
adulterated + finished pharmaceuticals,86,0.834,0.988
cgmp + finished pharmaceuticals,86,0.834,0.988
finished pharmaceuticals + misbranded,2,0.833,1.0
medical device + misbranded,2,0.83,1.0
misbranded + unapproved new animal drug,2,0.821,1.0
adulterated + finished pharmaceutical,10,0.818,0.9
cgmp + finished pharmaceutical,10,0.818,0.9
failure to comply with drug listing requirements + misbranded,1,0.815,1.0
adulterated + medical devices,31,0.813,0.903
cgmp + medical devices,31,0.813,0.903
medical devices + qsr,31,0.813,0.903
adulterated + cgmp,167,0.812,0.904
adulterated + qsr,32,0.812,0.906
cgmp + qsr,32,0.812,0.906
medical device + quality system regulation,1,0.808,1.0
medical device + unapproved device,1,0.808,1.0
misbranded + quality system regulation,1,0.808,1.0
misbranded + unapproved device,1,0.808,1.0
quality system regulation + unapproved device,1,0.808,1.0
adulterated + hazard analysis,2,0.799,1.0
adulterated + risk-based preventive controls for food,2,0.799,1.0
cgmp + hazard analysis,2,0.799,1.0
cgmp + risk-based preventive controls for food,2,0.799,1.0
hazard analysis + risk-based preventive controls for food,2,0.799,1.0
adulterated + installation,1,0.788,1.0
adulterated + manufacture,1,0.788,1.0
adulterated + packing,1,0.788,1.0
adulterated + storage,1,0.788,1.0
cgmp + installation,1,0.788,1.0
cgmp + manufacture,1,0.788,1.0
cgmp + packing,1,0.788,1.0
cgmp + storage,1,0.788,1.0
installation + manufacture,1,0.788,1.0
installation + packing,1,0.788,1.0
installation + qsr,1,0.788,1.0
installation + storage,1,0.788,1.0
manufacture + packing,1,0.788,1.0
manufacture + qsr,1,0.788,1.0
manufacture + storage,1,0.788,1.0
packing + qsr,1,0.788,1.0
packing + storage,1,0.788,1.0
qsr + storage,1,0.788,1.0
adulterated + food for animals,2,0.786,1.0
cgmp + food for animals,2,0.786,1.0
"food for animals + prepared, packed or held under insanitary conditions",2,0.786,1.0
adulterated + insanitary conditions,3,0.782,0.667
cgmp for foods + insanitary conditions,3,0.782,0.667
insanitary conditions + seafood haccp,3,0.782,0.667
cgmp + otc,2,0.78,0.5
investigational device exemptions (ide) + premarket approval application (pma) adulterated device,8,0.778,0.875
medical devices + misbranded,5,0.767,0.8
misbranded + qsr,5,0.767,0.8
adulterated + low acid canned food regulation,1,0.765,1.0
adulterated + non-medicated feed,1,0.762,1.0
cgmp + non-medicated feed,1,0.762,1.0
adulterated drug products + compounding pharmacy,14,0.761,0.857
clinical investigator + sponsor,1,0.76,1.0
adulterated + pma,2,0.754,1.0
cgmp + pma,2,0.754,1.0
medical devices + pma,2,0.754,1.0
misbranded + pma,2,0.754,1.0
pma + qsr,2,0.754,1.0
adulterated + prepared packed or held under insanitary conditions,2,0.754,1.0
food + prepared packed or held under insanitary conditions,2,0.754,1.0
